id,site,listing_id,url,captured_at,plate,make,model,variant,trim_input,body,first_reg,year,mileage_km,price_eur,fuel,transmission,power_hp,color,upholstery,doors,owners,seller_name,seller_type,seller_city,seller_zip,warranty_field,warranty_exists,warranty_in_text,image_count,first_image,source
autoscout24_129514,autoscout24.nl,1f4f21bd-9022-4f64-9cbc-eee80a129514,https://www.autoscout24.nl/aanbod/volvo-v90-191pk-t4-momentum-blis-carplay-acc-trekhaa-benzine-zwart-cat_ma73mo2081-1f4f21bd-9022-4f64-9cbc-eee80a129514,2026-09-02T14:54:42.618Z,N-330-SB,Volvo,V90,V90,191PK T4 Momentum | BLIS | Carplay | ACC | Trekhaa,Stationwagen,2018-10-01,2018,123060,23900,Benzine,Automatisch,190,Zwart,Leder,5,1,Autobedrijf Jacob Schaap Emmeloord B.V.,Dealer,EMMELOORD,8304 BA,,False,True,50,https://prod.pictures.autoscout24.net/listing-images/1f4f21bd-9022-4f64-9cbc-eee80a129514_71dda8df-6e36-49f5-9006-4bb1330777df.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_2709040739,autoscout24.nl,7040b36c-b92b-4567-a312-dc2709040739,https://www.autoscout24.nl/aanbod/volvo-v90-2-0-t5-momentum-creme-lederen-bekleding-benzine-zwart-cat_ma73mo2081-7040b36c-b92b-4567-a312-dc2709040739,2026-09-02T14:46:08.138Z,KN-026-G,Volvo,V90,V90,"2.0 T5 Momentum, Crème lederen bekleding",Stationwagen,2016-10-01,2016,152143,20885,Benzine,Automatisch,254,Zwart,Leder,5,,Merkbus BV,Dealer,DRACHTEN,9206 AK,,False,False,25,https://prod.pictures.autoscout24.net/listing-images/7040b36c-b92b-4567-a312-dc2709040739_905bb9fc-0dfb-4006-a93c-47ab9b4ba0e3.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_473794,autoscout24.nl,415d50d6-84b3-4636-b00d-3e1cd473794d,https://www.autoscout24.nl/aanbod/volvo-v90-t5-aut-inscription-panoramadak-camera-blis-t-benzine-zwart-cat_ma73mo2081-415d50d6-84b3-4636-b00d-3e1cd473794d,2026-09-02T14:46:02.270Z,XS-815-K,Volvo,V90,V90,T5 AUT Inscription Panoramadak / Camera / Blis / T,Stationwagen,2016-11-01,2016,138629,24999,Benzine,Automatisch,256,Zwart,Leder,5,,Autotaalservice Van Amerongen & Karssen,Dealer,DRIEBERGEN-RIJSENBURG,3972 KB,,False,False,33,https://prod.pictures.autoscout24.net/listing-images/415d50d6-84b3-4636-b00d-3e1cd473794d_79ed149b-2b07-44a4-9b1a-7426f14145b3.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_677215,autoscout24.nl,677215a1-f1d7-4932-8a3c-c365d1e41260,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-t4-inscription-benzine-blauw-cat_ma73mo19610-677215a1-f1d7-4932-8a3c-c365d1e41260,2026-09-02T14:45:58.228Z,G-436-RG,Volvo,V60,V60,2.0 T4 Inscription,Stationwagen,2019-11-01,2019,102129,24950,Benzine,Automatisch,190,Blauw,Leder,5,,Baauw Automotive,Dealer,ZEIST,3707 NG,,False,True,41,https://prod.pictures.autoscout24.net/listing-images/677215a1-f1d7-4932-8a3c-c365d1e41260_3f0412e5-b1c7-4a5b-ab14-b1fa2a23cc97.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,autoscout24.nl,358a63a4-905a-4adc-ae81-8ce3960da35d,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,2026-09-02T14:54:50.101Z,K-452-XD,Volvo,V60,V60,2.0 B3 Business Pro | Apple Carplay/Android | Navi,Stationwagen,2021-03-01,2021,106527,21945,Elektro/Benzine,Automatisch,177,Grijs,Stof,5,1,Autobedrijf Edwin Eger,Dealer,ZEVENHUIZEN,2761 BN,12 maand,True,True,34,https://prod.pictures.autoscout24.net/listing-images/358a63a4-905a-4adc-ae81-8ce3960da35d_a65c80d7-39ec-4f9d-bdea-9159736c4e9b.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40,autoscout24.nl,0d61a993-06be-45a5-a55c-305a5c820b40,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40,2026-09-02T14:54:34.405Z,J-703-GV,Volvo,V60,V60,2.0 B3 Inscription | Pilot Assist | Trekhaak | Led,Stationwagen,2020-08-01,2020,161548,22500,Benzine,Automatisch,163,Grijs,Leder,5,,Broekhuis Emmen Volvo,Dealer,EMMEN,7821 CB,,False,True,32,https://prod.pictures.autoscout24.net/listing-images/0d61a993-06be-45a5-a55c-305a5c820b40_83e8b4bc-d360-477c-9307-8ce67d189ffa.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-b3-momentum-advantage-achteropkomend-verkeer-benzine-grijs-cat_ma73mo19610-f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3,autoscout24.nl,f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-achteropkomend-verkeer-benzine-grijs-cat_ma73mo19610-f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3,2026-09-02T14:54:31.594Z,J-056-VK,Volvo,V60,V60,2.0 B3 Momentum Advantage | Achteropkomend verkeer,Stationwagen,2020-11-01,2020,129720,22950,Benzine,Automatisch,163,Grijs,Leder,5,,Henk Scholten Heerlen B.V.,Dealer,HEERLEN,6412 ZJ,,True,True,30,https://prod.pictures.autoscout24.net/listing-images/f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3_a8b55bab-c246-4541-92a0-661458a37901.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-b3-momentum-advantage-automaat-trekhaak-applec-benzine-grijs-cat_ma73mo19610-2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8,autoscout24.nl,2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-automaat-trekhaak-applec-benzine-grijs-cat_ma73mo19610-2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8,2026-09-02T14:54:45.108Z,K-467-ST,Volvo,V60,V60,2.0 B3 Momentum Advantage|Automaat|Trekhaak|Applec,Stationwagen,2021-03-01,2021,148198,21995,Benzine,Automatisch,163,Grijs,,5,,Autobedrijf Menno Walinga,Dealer,WINSUM FR,8831 ZM,,False,True,25,https://prod.pictures.autoscout24.net/listing-images/2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8_42ceec7a-857d-4701-9e07-e20c1993d198.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-b3-momentum-advantage-camera-led-17-lmv-benzine-grijs-cat_ma73mo19610-ff7dc77b-c41c-4381-9ba2-2ef33aa4c317,autoscout24.nl,ff7dc77b-c41c-4381-9ba2-2ef33aa4c317,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-camera-led-17-lmv-benzine-grijs-cat_ma73mo19610-ff7dc77b-c41c-4381-9ba2-2ef33aa4c317,2026-09-02T14:54:40.003Z,N-130-VB,Volvo,V60,V60,"2.0 B3 MOMENTUM ADVANTAGE / CAMERA / LED / 17""LMV",Stationwagen,2022-01-01,2022,114118,22900,Benzine,Automatisch,163,Grijs,,5,1,Broekhuis Dronten Peugeot Opel,Dealer,DRONTEN,8251 KN,12 maand,True,True,26,https://prod.pictures.autoscout24.net/listing-images/ff7dc77b-c41c-4381-9ba2-2ef33aa4c317_5c529a48-1f32-4557-8fb9-aeb68e178c56.jpg/1280x960.webp,__NEXT_DATA__
autoscout24_volvo-v60-2-0-t4-inscription-trekhaak-achteruitrijcamera-benzine-grijs-cat_ma73mo19610-5066ae05-f88a-429a-8540-83405ebaeccd,autoscout24.nl,5066ae05-f88a-429a-8540-83405ebaeccd,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-t4-inscription-trekhaak-achteruitrijcamera-benzine-grijs-cat_ma73mo19610-5066ae05-f88a-429a-8540-83405ebaeccd,2026-09-02T14:54:37.359Z,G-738-ZL,Volvo,V60,V60,2.0 T4 Inscription | Trekhaak | Achteruitrijcamera,Stationwagen,2020-01-01,2020,165566,23899,Benzine,Automatisch,190,Grijs,Leder,5,,Nieuwenhuijse Doetinchem B.V.,Dealer,DOETINCHEM,7007 CL,12 maand,True,True,26,https://prod.pictures.autoscout24.net/listing-images/5066ae05-f88a-429a-8540-83405ebaeccd_af96dd2c-9a0d-4e51-8299-a56eb9cece91.jpg/1280x960.webp,__NEXT_DATA__
