id,site,url,captured_at,shared_from,verdict,verdict_reasons,notes
autoscout24_129514,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v90-191pk-t4-momentum-blis-carplay-acc-trekhaa-benzine-zwart-cat_ma73mo2081-1f4f21bd-9022-4f64-9cbc-eee80a129514?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_473794,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v90-t5-aut-inscription-panoramadak-camera-blis-t-benzine-zwart-cat_ma73mo2081-415d50d6-84b3-4636-b00d-3e1cd473794d?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_677215,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-t4-inscription-benzine-blauw-cat_ma73mo19610-677215a1-f1d7-4932-8a3c-c365d1e41260?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_2709040739,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v90-2-0-t5-momentum-creme-lederen-bekleding-benzine-zwart-cat_ma73mo2081-7040b36c-b92b-4567-a312-dc2709040739?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-business-pro-apple-carplay-android-navi-elektro-benzine-grijs-cat_ma73mo19610-358a63a4-905a-4adc-ae81-8ce3960da35d?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-inscription-pilot-assist-trekhaak-led-benzine-grijs-cat_ma73mo19610-0d61a993-06be-45a5-a55c-305a5c820b40?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-b3-momentum-advantage-achteropkomend-verkeer-benzine-grijs-cat_ma73mo19610-f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-achteropkomend-verkeer-benzine-grijs-cat_ma73mo19610-f029e35f-9ba6-4dc7-84f9-ed0f7ddf4df3?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-b3-momentum-advantage-automaat-trekhaak-applec-benzine-grijs-cat_ma73mo19610-2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-automaat-trekhaak-applec-benzine-grijs-cat_ma73mo19610-2e4a0b76-6610-4fe2-8bd0-30a36d44a4a8?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-b3-momentum-advantage-camera-led-17-lmv-benzine-grijs-cat_ma73mo19610-ff7dc77b-c41c-4381-9ba2-2ef33aa4c317,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-b3-momentum-advantage-camera-led-17-lmv-benzine-grijs-cat_ma73mo19610-ff7dc77b-c41c-4381-9ba2-2ef33aa4c317?source=favorites_list,2026-09-02,desktop_browser,"","",""
autoscout24_volvo-v60-2-0-t4-inscription-trekhaak-achteruitrijcamera-benzine-grijs-cat_ma73mo19610-5066ae05-f88a-429a-8540-83405ebaeccd,autoscout24.nl,https://www.autoscout24.nl/aanbod/volvo-v60-2-0-t4-inscription-trekhaak-achteruitrijcamera-benzine-grijs-cat_ma73mo19610-5066ae05-f88a-429a-8540-83405ebaeccd?source=favorites_list,2026-09-02,desktop_browser,"","",""
